,contre,abstention
:hu: Hongrie,76,46
:pl: Pologne,56,39
:gb: Royaume-Uni,56,118
:se: Suède,39,13
:nl: Pays-Bas,39,24
:at: Autriche,33,64
:de: Allemagne,31,45
:dk: Danemark,28,11
:sk: Slovaquie,21,33
:fi: Finlande,19,10
:cz: Tchéquie,19,53
:bg: Bulgarie,19,47
:it: Italie,17,12
:mt: Malte,15,14
:lu: Luxembourg,14,18
:es: Espagne,14,14
:cy: Chypre,13,1
:pt: Portugal,8,17
:ro: Roumanie,8,11
:be: Belgique,7,43
:ee: Estonie,6,25
:gr: Grèce,6,7
:lt: Lituanie,6,7
:ie: Irlande,5,12
:si: Slovénie,5,14
:lv: Lettonie,5,20
:hr: Croatie,3,12
:fr: France,2,3
